,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size,Gross Lettable Area,insert_date,price per m2 Erf,price per m2 Floor
2587,108736321,Riverhorse Valley,unknown,44300000.0,Industrial Property,Kopp Commercial,/for-sale/riverhorse-valley/durban/kwazulu-natal/11690/108736321,,,,,4028.0,,2020-11-14 14:14:23.379413,,10998.013902681232
2588,109213524,Umbilo,unknown,9500000.0,Commercial Property,Tyson Properties Morningside Office,/for-sale/umbilo/durban/kwazulu-natal/6029/109213524,,,,,1748.0,,2020-11-14 14:14:23.379413,,5434.782608695652
2589,109149487,Newlands West,unknown,780000.0,3 Bedroom House,Liger Property Group,/for-sale/newlands-west/durban/kwazulu-natal/6133/109149487,3.0,1.0,3.0,,,,2020-11-14 14:14:23.379413,,
2590,108042077,Morningside,unknown,1100000.0,2 Bedroom Apartment,Soukop Property Group - Morningside,/for-sale/morningside/durban/kwazulu-natal/6021/108042077,2.0,1.0,1.0,,79.0,,2020-11-14 14:14:23.379413,,13924.050632911392
2591,108995937,Morningside,unknown,550000.0,1 Bedroom Apartment,Harcourts Equity,/for-sale/morningside/durban/kwazulu-natal/6021/108995937,1.0,1.0,1.0,,35.0,,2020-11-14 14:14:23.379413,,15714.285714285714
2592,108986204,Reservoir Hills,unknown,1095000.0,3 Bedroom House,Wakefields Estate Agents Westville,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/108986204,3.0,2.0,3.0,1084.0,,,2020-11-14 14:14:23.379413,1010.1476014760148,
2593,108876005,Bluff,40 Brighton Road,20000000.0,Commercial Property,Just Property Margate,/for-sale/bluff/durban/kwazulu-natal/12970/108876005,,,,,2000.0,,2020-11-14 14:14:23.379413,,10000.0
2594,109139135,Morningside,unknown,600000.0,1.5 Bedroom Apartment,Prime Property Musgrave,/for-sale/morningside/durban/kwazulu-natal/6021/109139135,1.5,1.0,1.0,,47.0,,2020-11-14 14:14:23.379413,,12765.95744680851
2595,107962958,Essenwood,2 Musgrave,1675000.0,2 Bedroom Townhouse,Seeff Berea,/for-sale/essenwood/durban/kwazulu-natal/6165/107962958,2.0,2.0,2.0,1133.0,,,2020-11-14 14:14:23.379413,1478.3759929390997,
2596,108505049,Glenwood,152 Lamont Road,4200000.0,4 Bedroom House,Pam Golding Properties - Durban,/for-sale/glenwood/durban/kwazulu-natal/6034/108505049,4.0,3.5,7.0,1128.0,,,2020-11-14 14:14:23.379413,3723.404255319149,
2597,109011263,Newlands East,unknown,800000.0,3 Bedroom Townhouse,Property.CoZa - Berea,/for-sale/newlands-east/durban/kwazulu-natal/6132/109011263,3.0,1.0,,196.0,,,2020-11-14 14:14:23.379413,4081.6326530612246,
2598,108908376,North Beach,unknown,2700000.0,3 Bedroom Apartment,RE/MAX Panache - La Lucia,/for-sale/north-beach/durban/kwazulu-natal/6022/108908376,3.0,2.0,2.0,,,,2020-11-14 14:14:23.379413,,
2599,108623334,Morningside,91 Lambert Road,2250000.0,3 Bedroom Apartment,Seeff Berea,/for-sale/morningside/durban/kwazulu-natal/6021/108623334,3.0,2.0,2.0,,95.0,,2020-11-14 14:14:23.379413,,23684.21052631579
2600,109010629,Glenwood,unknown,850000.0,2.5 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/glenwood/durban/kwazulu-natal/6034/109010629,2.5,1.0,2.0,,78.0,,2020-11-14 14:14:23.379413,,10897.435897435897
2601,108962733,Morningside,unknown,1550000.0,2 Bedroom Apartment,Prime Property Musgrave,/for-sale/morningside/durban/kwazulu-natal/6021/108962733,2.0,2.0,1.0,,135.0,,2020-11-14 14:14:23.379413,,11481.481481481482
2602,109298537,Reservoir Hills,unknown,1100000.0,Vacant Land,Prime Property Highway,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/109298537,,,,3622.0,,,2020-11-14 14:14:23.379413,303.6996134732192,
2603,109298537,Reservoir Hills,unknown,1100000.0,Vacant Land,Prime Property Highway,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/109298537,,,,3622.0,,,2020-11-14 14:14:23.379413,303.6996134732192,
2604,108816650,Glenwood,unknown,5500000.0,3 Bedroom Apartment,Seeff Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/108816650,3.0,3.5,2.0,,208.0,,2020-11-14 14:14:23.379413,,26442.30769230769
2605,107200223,Glenwood,unknown,1250000.0,2 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/glenwood/durban/kwazulu-natal/6034/107200223,2.0,2.0,4.0,,109.0,,2020-11-14 14:14:23.379413,,11467.88990825688
2606,109176020,Newlands West,unknown,795000.0,2 Bedroom House,Acutts Berea,/for-sale/newlands-west/durban/kwazulu-natal/6133/109176020,2.0,1.0,1.0,,,,2020-11-14 14:14:23.379413,,
2607,108764927,Musgrave,unknown,900000.0,1 Bedroom Apartment,"Leapfrog, Durban Central",/for-sale/musgrave/durban/kwazulu-natal/6166/108764927,1.0,1.0,1.0,,57.0,,2020-11-14 14:14:23.379413,,15789.473684210527
2608,109280169,Bulwer,unknown,3450000.0,3 Bedroom House,RE/MAX Address - Berea,/for-sale/bulwer/durban/kwazulu-natal/5969/109280169,3.0,2.0,3.0,840.0,,,2020-11-14 14:14:23.379413,4107.142857142857,
2609,108916070,Glenwood,unknown,875000.0,2 Bedroom Apartment,Wakefields Estate Agents Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/108916070,2.0,1.0,2.0,,110.0,,2020-11-14 14:14:23.379413,,7954.545454545455
