,Unnamed: 0,Unnamed: 0.1,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Floor Size,Erf Size,Gross Lettable Area,address2,lat,lon
4531,4531,4531,108539701,Newlands East,unknown,974000.0,3 Bedroom Apartment,unknown,/for-sale/newlands-east/durban/kwazulu-natal/6132/108539701,3.0,2.0,4.0,,,,Newlands East Durban,-29.7783333,30.9608333
4532,4532,4532,108330502,Glenwood,unknown,950000.0,2 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/108330502,2.0,1.5,1.0,112.0,,,Glenwood Durban,-29.8638889,30.9877778
4533,4533,4533,107809712,Manor Gardens,unknown,1499000.0,3 Bedroom House,Pam Golding Properties - Durban,/for-sale/manor-gardens/durban/kwazulu-natal/6016/107809712,3.0,2.0,4.0,,1028.0,,Manor Gardens Durban,-29.861825,31.009909
4534,4534,4534,108631122,Glenwood,unknown,2350000.0,4 Bedroom House,Wakefields Estate Agents Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/108631122,4.0,3.5,10.0,,,,Glenwood Durban,-29.8638889,30.9877778
4535,4535,4535,108903738,Morningside,unknown,2515000.0,3 Bedroom Apartment,Jazmax - Head Office,/for-sale/morningside/durban/kwazulu-natal/6021/108903738,3.0,2.0,2.0,,,,Morningside Durban,-29.8183613,31.0180771
4536,4536,4536,103951325,Point Waterfront,unknown,2500000.0,1 Bedroom Apartment,unknown,/for-sale/point-waterfront/durban/kwazulu-natal/6024/103951325,1.0,1.0,3.0,68.0,,,Point Waterfront Durban,-29.861825,31.009909
4537,4537,4537,108996782,Briardene,unknown,1699000.0,Vacant Land,unknown,/for-sale/briardene/durban/kwazulu-natal/6069/108996782,,,,,,,Briardene Durban,-29.7919444,31.0072222
4538,4538,4538,108429347,South Beach,unknown,490000.0,0.5 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/south-beach/durban/kwazulu-natal/6027/108429347,0.5,1.0,,39.0,,,South Beach Durban,-29.862027400000002,31.037410200593246
4539,4539,4539,105261113,Essenwood,unknown,3800000.0,4 Bedroom Townhouse,Soukop Property Group - Morningside,/for-sale/essenwood/durban/kwazulu-natal/6165/105261113,4.0,3.5,3.0,,255.0,,Essenwood Durban,-29.8369444,31.0130556
4540,4540,4540,108426553,South Beach,unknown,365000.0,0.5 Bedroom Apartment,unknown,/for-sale/south-beach/durban/kwazulu-natal/6027/108426553,0.5,1.0,,34.0,,,South Beach Durban,-29.862027400000002,31.037410200593246
4541,4541,4541,105037603,Sydenham,unknown,1925000.0,3 Bedroom House,Wakefields Estate Agents Berea,/for-sale/sydenham/durban/kwazulu-natal/6198/105037603,3.0,2.0,4.0,,488.0,,Sydenham Durban,-29.8283333,30.9944444
4542,4542,4542,105523972,Morningside,unknown,2225000.0,3 Bedroom House,Tyson Properties Morningside Office,/for-sale/morningside/durban/kwazulu-natal/6021/105523972,3.0,1.0,9.0,,630.0,,Morningside Durban,-29.8183613,31.0180771
4543,4543,4543,109273917,Glenwood,"Davenport Square, 89 Helen Joseph Road",689000.0,1 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/109273917,1.0,1.0,,66.0,,,"Davenport Square, 89 Helen Joseph Road Durban",,
4544,4544,4544,108628727,Essenwood,unknown,2095000.0,3 Bedroom Townhouse,Wakefields Estate Agents Berea,/for-sale/essenwood/durban/kwazulu-natal/6165/108628727,3.0,2.0,2.0,,1628.0,,Essenwood Durban,-29.8369444,31.0130556
4545,4545,4545,108793806,Montclair,unknown,2650000.0,12 Bedroom House,Jazmax - Westville,/for-sale/montclair/durban/kwazulu-natal/6040/108793806,12.0,12.0,1.0,,,,Montclair Durban,-29.9197222,30.9652778
4546,4546,4546,107684131,Glenwood,"Davenport Square, 89 Helen Joseph Road",689000.0,1 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/107684131,1.0,1.0,,66.0,,,"Davenport Square, 89 Helen Joseph Road Durban",,
4547,4547,4547,108848372,Umbilo,unknown,400000.0,1 Bedroom Apartment,Harcourts Equity,/for-sale/umbilo/durban/kwazulu-natal/6029/108848372,1.0,1.0,1.0,48.0,,,Umbilo Durban,-29.8905556,30.9777778
4548,4548,4548,107082813,Essenwood,unknown,2790000.0,3 Bedroom House,Seeff Berea,/for-sale/essenwood/durban/kwazulu-natal/6165/107082813,3.0,2.0,2.0,,703.0,,Essenwood Durban,-29.8369444,31.0130556
4549,4549,4549,106437397,Musgrave,unknown,3750000.0,3 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/musgrave/durban/kwazulu-natal/6166/106437397,3.0,2.0,2.0,170.0,,,Musgrave Durban,-29.8488889,30.9961111
4550,4550,4550,107510916,North Beach,unknown,1845000.0,2 Bedroom Apartment,unknown,/for-sale/north-beach/durban/kwazulu-natal/6022/107510916,2.0,1.0,1.0,,,,North Beach Durban,-29.846709099999998,31.035285842256584
4551,4551,4551,102227654,Point Waterfront,unknown,2400000.0,2 Bedroom Apartment,unknown,/for-sale/point-waterfront/durban/kwazulu-natal/6024/102227654,2.0,2.0,1.0,87.0,,,Point Waterfront Durban,-29.861825,31.009909
4552,4552,4552,106177686,Durban Central,unknown,1000000.0,3.5 Bedroom Apartment,Wakefields Beach,/for-sale/durban-central/durban/kwazulu-natal/5992/106177686,3.5,2.0,2.0,149.0,,,Durban Central Durban,-29.8574209,31.02222775321959
4553,4553,4553,108276480,Waterval Park,25 Galway Road,385000.0,2 Bedroom Apartment,Liger Property Group,/for-sale/waterval-park/durban/kwazulu-natal/6200/108276480,2.0,1.0,1.0,,,,25 Galway Road Durban,-29.8457151,30.9819113
4554,4554,4554,107333541,Point Waterfront,unknown,3100000.0,2 Bedroom Apartment,unknown,/for-sale/point-waterfront/durban/kwazulu-natal/6024/107333541,2.0,2.0,2.0,,,,Point Waterfront Durban,-29.861825,31.009909
4555,4555,4555,108641403,Sherwood,unknown,1299000.0,2 Bedroom Townhouse,Dormehl Phalane Property Group Westville,/for-sale/sherwood/durban/kwazulu-natal/6194/108641403,2.0,1.0,1.0,103.0,,,Sherwood Durban,-29.8288889,30.9772222
4556,4556,4556,108290286,Clare Hills,unknown,595000.0,Vacant Land,RE/MAX Address - Berea,/for-sale/clare-hills/durban/kwazulu-natal/6186/108290286,,,,,994.0,,Clare Hills Durban,-29.8158333,30.9766667
4557,4557,4557,108290286,Clare Hills,unknown,595000.0,Vacant Land,RE/MAX Address - Berea,/for-sale/clare-hills/durban/kwazulu-natal/6186/108290286,,,,,994.0,,Clare Hills Durban,-29.8158333,30.9766667
4558,4558,4558,108616580,Glebe,unknown,790000.0,2 Bedroom House,KZN North Coast Property,/for-sale/glebe/durban/kwazulu-natal/5974/108616580,2.0,1.0,,,,,Glebe Durban,,
4559,4559,4559,106736928,South Beach,unknown,690000.0,1 Bedroom Apartment,Wakefields Beach,/for-sale/south-beach/durban/kwazulu-natal/6027/106736928,1.0,1.0,,75.0,,,South Beach Durban,-29.862027400000002,31.037410200593246
4560,4560,4560,107810512,South Beach,unknown,550000.0,1.5 Bedroom Apartment,Wakefields Beach,/for-sale/south-beach/durban/kwazulu-natal/6027/107810512,1.5,1.5,,,,,South Beach Durban,-29.862027400000002,31.037410200593246
4561,4561,4561,108582784,Glenwood,unknown,630000.0,2 Bedroom Apartment,Soukop Property Group - Morningside,/for-sale/glenwood/durban/kwazulu-natal/6034/108582784,2.0,1.0,1.0,58.0,,,Glenwood Durban,-29.8638889,30.9877778
4562,4562,4562,108464992,Musgrave,unknown,1100000.0,2.5 Bedroom Apartment,Prime Property Musgrave,/for-sale/musgrave/durban/kwazulu-natal/6166/108464992,2.5,1.5,,88.0,,,Musgrave Durban,-29.8488889,30.9961111
4563,4563,4563,107756925,North Beach,unknown,1630000.0,2 Bedroom Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/107756925,2.0,2.0,,77.0,,,North Beach Durban,-29.846709099999998,31.035285842256584
4564,4564,4564,108368798,North Beach,unknown,1200000.0,2.5 Bedroom Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/108368798,2.5,1.5,,83.0,,,North Beach Durban,-29.846709099999998,31.035285842256584
4565,4565,4565,103503726,Point Waterfront,unknown,5000000.0,3 Bedroom Townhouse,unknown,/for-sale/point-waterfront/durban/kwazulu-natal/6024/103503726,3.0,2.0,2.0,255.0,,,Point Waterfront Durban,-29.861825,31.009909
4566,4566,4566,109005781,South Beach,unknown,490000.0,2.5 Bedroom Apartment,Urban Link - Upper Highway,/for-sale/south-beach/durban/kwazulu-natal/6027/109005781,2.5,1.5,,103.0,,,South Beach Durban,-29.862027400000002,31.037410200593246
4567,4567,4567,108471369,Musgrave,unknown,7650000.0,8 Bedroom House,Acutts Berea,/for-sale/musgrave/durban/kwazulu-natal/6166/108471369,8.0,8.0,10.0,,1069.0,,Musgrave Durban,-29.8488889,30.9961111
4568,4568,4568,108478804,Musgrave,551 Musgrave Road,9900000.0,Vacant Land,"Just Property, Berea",/for-sale/musgrave/durban/kwazulu-natal/6166/108478804,,,,,1731.0,,551 Musgrave Road Durban,-29.8492096,31.0000675
4569,4569,4569,108142227,Avoca,unknown,1100000.0,3 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/avoca/durban/kwazulu-natal/6063/108142227,3.0,2.0,1.0,117.0,,,Avoca Durban,-29.7708333,31.0166667
4570,4570,4570,108463909,Reservoir Hills,unknown,3990000.0,4 Bedroom House,Wakefields Estate Agents Westville,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/108463909,4.0,2.0,3.0,,1006.0,,Reservoir Hills Durban,-29.794942,30.9353627
4571,4571,4571,108490709,South Beach,unknown,340000.0,1 Bedroom Apartment,Chas Everitt Durban South,/for-sale/south-beach/durban/kwazulu-natal/6027/108490709,1.0,1.0,,,,,South Beach Durban,-29.862027400000002,31.037410200593246
4572,4572,4572,108390969,North Beach,unknown,540000.0,1 Bedroom Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/108390969,1.0,1.0,1.0,,,,North Beach Durban,-29.846709099999998,31.035285842256584
4573,4573,4573,107809785,Point Waterfront,unknown,14995000.0,4 Bedroom Apartment,Wakefields Beach,/for-sale/point-waterfront/durban/kwazulu-natal/6024/107809785,4.0,3.5,4.0,407.0,,,Point Waterfront Durban,-29.861825,31.009909
4574,4574,4574,108351386,Durban Central,unknown,890000.0,3 Bedroom Apartment,"RE/MAX, Advance - Queensburgh",/for-sale/durban-central/durban/kwazulu-natal/5992/108351386,3.0,1.5,,105.0,,,Durban Central Durban,-29.8574209,31.02222775321959
4575,4575,4575,109068755,Avoca,unknown,1100000.0,3 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/avoca/durban/kwazulu-natal/6063/109068755,3.0,2.0,1.0,117.0,,,Avoca Durban,-29.7708333,31.0166667
4576,4576,4576,108327298,Morningside,unknown,3500000.0,3 Bedroom House,Soukop Property Group - Morningside,/for-sale/morningside/durban/kwazulu-natal/6021/108327298,3.0,2.0,14.0,,567.0,,Morningside Durban,-29.8183613,31.0180771
4577,4577,4577,108240667,Carrington Heights,115 Mountain Rise,595000.0,1 Bedroom Apartment,Maxprop Berea,/for-sale/carrington-heights/durban/kwazulu-natal/6005/108240667,1.0,1.0,1.0,48.0,,,115 Mountain Rise Durban,-29.8849025,30.9668313
4578,4578,4578,105893794,North Beach,unknown,1890000.0,3 Bedroom Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/105893794,3.0,2.0,1.0,,,,North Beach Durban,-29.846709099999998,31.035285842256584
4579,4579,4579,108487748,Earlsfield,unknown,740000.0,2 Bedroom House,Wakefields Estate Agents Phoenix,/for-sale/earlsfield/durban/kwazulu-natal/6078/108487748,2.0,1.0,,,,,Earlsfield Durban,-29.7730003,30.9369843
4580,4580,4580,108363289,Greenwood Park,unknown,2200000.0,5 Bedroom House,Wakefields Estate Agents Phoenix,/for-sale/greenwood-park/durban/kwazulu-natal/6086/108363289,5.0,4.0,1.0,,2649.0,,Greenwood Park Durban,-29.785,31.0166667
