,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Floor Size,Erf Size,Gross Lettable Area
4136,109039468,Springfield,unknown,850000,Industrial Property,RE/MAX Address - Berea,/for-sale/springfield/durban/kwazulu-natal/6196/109039468,,,,113 m²,,
4137,107554702,South Beach,unknown,595000,2 Bedroom Apartment,Wakefields Beach,/for-sale/south-beach/durban/kwazulu-natal/6027/107554702,2,1,1,79 m²,,
4138,108333197,Bulwer,unknown,2400000,Commercial Property,Chas Everitt Durban Central,/for-sale/bulwer/durban/kwazulu-natal/5969/108333197,,,,171 m²,,
4139,104706694,Point Waterfront,unknown,3150000,3 Bedroom Apartment,Wakefields Beach,/for-sale/point-waterfront/durban/kwazulu-natal/6024/104706694,3,2,2,120 m²,,
4140,108056130,Durban Central,25 Joseph Nduli Street,395000,Apartment,Pam Golding Properties - Durban,/for-sale/durban-central/durban/kwazulu-natal/5992/108056130,,1,,49 m²,,
4141,106838660,Esplanade,unknown,900000,2.5 Bedroom Apartment,Wakefields Beach,/for-sale/esplanade/durban/kwazulu-natal/6010/106838660,2.5,1,1,179 m²,,
4142,108540149,Musgrave,unknown,2150000,3 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/musgrave/durban/kwazulu-natal/6166/108540149,3,2,,157 m²,,
4143,108239715,Durban Central,unknown,695000,2.5 Bedroom Apartment,RE/MAX Advance - Bluff,/for-sale/durban-central/durban/kwazulu-natal/5992/108239715,2.5,1,,112 m²,,
4144,108162350,Point Waterfront,unknown,3750000,3 Bedroom Apartment,unknown,/for-sale/point-waterfront/durban/kwazulu-natal/6024/108162350,3,2,2,186 m²,,
4145,109273079,Woodlands,unknown,1310000,4 Bedroom House,Soukop Property Group - Montclair,/for-sale/woodlands/durban/kwazulu-natal/6042/109273079,4,2,2,,757 m²,
